text,label,category
"Subject: Application Status - Staff Software Engineer at Plaid

Hi Candidate,

We wanted to follow up regarding your application for Staff Software Engineer at Plaid.

After reviewing your qualifications alongside our current openings, we regret to inform you that we will not be proceeding with your application. This was a highly competitive process, and the decision was not easy.

Please don't be discouraged - we encourage you to apply again in the future.

Thank you,
Plaid Talent Team",2,rejection
"Subject: New jobs for you on LinkedIn

Hi Candidate,

Based on your profile, we found some jobs you might be interested in:

- Software Engineer at Company A (100+ applicants)
- Developer at Company B (50+ applicants)
- Engineer at Company C (200+ applicants)

See all recommendations on LinkedIn

LinkedIn Jobs Team",3,not_job
"Subject: Your Uber ride receipt

Thanks for riding with Uber!

Trip Total: ₹245

From: MG Road
To: Koramangala

Rate your driver to improve your experience.

Uber",3,not_job
"Subject: Moving Forward - Solutions Architect Application

Hi Candidate,

Great news! The hiring team at Lyft was impressed with your profile and we'd like to move forward with your application for Solutions Architect.

Next steps:
1. 30-min recruiter call
2. Technical assessment
3. Final round with the team

Let's schedule the recruiter call this week. What times work for you?

Thanks,
Ashley",1,interview
"Subject: We're going a different direction - Zomato

Hi Candidate,

I wanted to personally reach out regarding your application for UI Designer at Zomato.

Unfortunately, after much deliberation, we've decided not to proceed with your candidacy. This was a difficult decision given the strength of your application.

I'd be happy to keep your resume on file for future opportunities.

Best wishes,
David
Zomato Talent Acquisition",2,rejection
"Subject: Application submitted successfully - DataDrive

Hello Candidate,

Your application for Security Engineer at DataDrive has been received!

Here's what to expect:
1. Resume review by our talent team
2. Initial screening if qualified
3. Interview process (typically 3-4 rounds)

We'll keep you updated on your status.

Thanks,
DataDrive Careers",0,applied
"Subject: We received your application for Frontend Developer

Hi Candidate,

Thanks for taking the time to apply for the Frontend Developer position at Adobe!

We're excited to learn more about you. Our hiring team is reviewing applications and will reach out to qualified candidates soon.

In the meantime, feel free to check out our careers page for other opportunities.

Best,
The Adobe Team",0,applied
"Subject: Zomato: Order delivered successfully

Hi Candidate,

Your order from Biryani House has been delivered!

How was your food? Rate your experience.

Order total: ₹450

Thanks for ordering with Zomato!",3,not_job
"Subject: Application Status - Solutions Architect at Square

Dear Candidate,

We wanted to follow up regarding your application for Solutions Architect at Square.

After reviewing your qualifications alongside our current openings, we regret to inform you that we will not be proceeding with your application. This was a highly competitive process, and the decision was not easy.

Please don't be discouraged - we encourage you to apply again in the future.

Thanks,
Square Talent Team",2,rejection
"Subject: Thank you for your interest in Cloudflare

Hi Candidate,

We appreciate your interest in joining Cloudflare as a Automation Engineer. 

Your application has been forwarded to the hiring team for review. If your background is a match, you can expect to hear from us within the next two weeks.

Best of luck,
Brian
Recruiting Team, Cloudflare",0,applied
"Subject: Thank you for applying to Tech Mahindra

Hello Candidate,

Thank you for your interest in Tech Mahindra and for applying to the Product Designer position.

We have carefully reviewed your application and, unfortunately, have decided not to move forward at this time. We received many qualified applicants for this role and the competition was intense.

We appreciate your time and wish you success in your career.

Best,
Ryan
Tech Mahindra HR",2,rejection
"Subject: Application Received - UI Designer at Meta

Dear Candidate,

We've received your application for the UI Designer role at Meta. Thank you for your interest in joining our team!

Our recruiting team will review your application and get back to you if there's a potential match. Due to the high volume of applications, this process may take 2-3 weeks.

Cheers,
David
Talent Acquisition, Meta",0,applied
"Subject: Your Swiggy order is confirmed!

Hi Candidate,

Your order from Domino's Pizza has been confirmed!

Order ID: SW123456
Items: Margherita Pizza, Garlic Bread
Total: ₹599

Estimated delivery: 35-40 mins

Track your order in the Swiggy app.

Enjoy your meal!
Swiggy",3,not_job
"Subject: Application Status - Technical Program Manager at Kubernetes

Dear Candidate,

We wanted to follow up regarding your application for Technical Program Manager at Kubernetes.

After reviewing your qualifications alongside our current openings, we regret to inform you that we will not be proceeding with your application. This was a highly competitive process, and the decision was not easy.

Please don't be discouraged - we encourage you to apply again in the future.

Thank you,
Kubernetes Talent Team",2,rejection
"Subject: Application Received - Product Manager at TechStart Inc

Hi Candidate,

We've received your application for the Product Manager role at TechStart Inc. Thank you for your interest in joining our team!

Our recruiting team will review your application and get back to you if there's a potential match. Due to the high volume of applications, this process may take 2-3 weeks.

Cheers,
Michael
Talent Acquisition, TechStart Inc",0,applied
"Subject: Thank you for your interest in Redis Labs

Dear Candidate,

We appreciate your interest in joining Redis Labs as a UI Designer. 

Your application has been forwarded to the hiring team for review. If your background is a match, you can expect to hear from us within the next two weeks.

Best of luck,
Amanda
Recruiting Team, Redis Labs",0,applied
"Subject: Regarding Your Cloud Engineer Application

Hello Candidate,

Thank you for applying for the Cloud Engineer position at Google. We enjoyed learning about your background.

After careful consideration, we've decided to move in a different direction for this role. This decision is not a reflection of your abilities - we simply found candidates whose experience was a closer match.

Best of luck with your job search!

Sincerely,
Emily
Google",2,rejection
"Subject: Update on Your Application - HashiCorp

Dear Candidate,

Thank you for taking the time to apply for the Software Architect position at HashiCorp and for your interest in joining our team.

After careful consideration, we have decided to move forward with other candidates whose experience more closely matches our current needs.

We encourage you to apply for future openings that match your skills. We wish you the best in your job search.

Sincerely,
HashiCorp Recruiting Team",2,rejection
"Subject: Password reset request

Hi Candidate,

We received a request to reset your password.

Click here to reset: [Reset Link]

If you didn't request this, please ignore this email.

Security Team",3,not_job
"Subject: Docker - Application Update

Hi Candidate,

We appreciate your interest in joining Docker as a iOS Developer.

After thorough review, we have decided to pursue other candidates for this position. While we were impressed by your background, we felt other applicants were a closer fit for our immediate needs.

We encourage you to check our careers page for future opportunities.

Warm regards,
Docker Recruiting",2,rejection
"Subject: Interview Invitation - Engineering Manager at CodeCraft

Hi Candidate,

Great news! We'd like to invite you to interview for the Engineering Manager position at CodeCraft.

We were impressed by your background and would love to learn more about you. Please let us know your availability for a 30-minute phone screen this week.

Available times:
- Monday-Friday: 10am-4pm

Looking forward to speaking with you!

Best,
Kevin
CodeCraft Recruiting",1,interview
"Subject: Flight booking confirmation - IndiGo

Dear Candidate,

Your flight booking is confirmed!

PNR: ABC123
Flight: 6E-1234
Route: DEL → BLR
Date: January 14, 2026

Web check-in opens 48 hours before departure.

IndiGo Airlines",3,not_job
"Subject: PayPal - Application Update

Hi Candidate,

We appreciate your interest in joining PayPal as a Systems Analyst.

After thorough review, we have decided to pursue other candidates for this position. While we were impressed by your background, we felt other applicants were a closer fit for our immediate needs.

We encourage you to check our careers page for future opportunities.

Warm regards,
PayPal Recruiting",2,rejection
"Subject: Your Twitter digest

Hi Candidate,

Here's what's happening on Twitter:

Top trends in India:
1. #TechNews - 50K tweets
2. #Cricket - 100K tweets

See what's trending

Twitter",3,not_job
"Subject: Amazon - Application Confirmation

Dear Candidate,

This email confirms that we have received your application for:

Position: DevOps Engineer
Company: Amazon
Date Applied: February 03, 2026

Your application is now under review. We will contact you if your profile matches our requirements.

Thank you,
Amazon Talent Acquisition",0,applied
"Subject: Your Amazon order has shipped!

Hi Candidate,

Great news! Your order #123-4567890 has been shipped and is on its way.

Expected delivery: January 24, 2026
Tracking number: TRK123456789

Track your package at amazon.com/orders

Thank you for shopping with us!
Amazon Customer Service",3,not_job
"Subject: HashiCorp - Application Confirmation

Dear Candidate,

This email confirms that we have received your application for:

Position: SRE Engineer
Company: HashiCorp
Date Applied: January 14, 2026

Your application is now under review. We will contact you if your profile matches our requirements.

Thank you,
HashiCorp Talent Acquisition",0,applied
"Subject: Thank you for applying to Atlassian

Hi Candidate,

Thank you for applying to the UX Designer position at Atlassian! We have received your application and our team is currently reviewing it.

We appreciate your interest in joining our team. If your qualifications match our requirements, a member of our recruiting team will reach out to discuss next steps.

Best regards,
The Atlassian Talent Team",0,applied
